cik,cusip6,cusip8
93859.0,157666,157666
792130.0,237917,23791720
862861.0,03814F,03814F20
1137774.0,382472,38247251
1082526.0,80908T,80908T10
1018840.0,002896,00289620
7332.0,845467,84546710
892553.0,16115Q,16115Q30
1022469.0,247850,24785010
887733.0,153527,15352710
1528396.0,40171V,40171V10
1020477.0,77866T,77866T10
886137.0,317923,31792310
1070336.0,00448Q,00448Q20
1020710.0,233377,23337740
1182129.0,05334D,05334D10
1135185.0,049164,04916420
1534992.0,31660B,31660B10
1043337.0,86183P,86183P10
1141807.0,31986N,31986N10
351817.0,870738,87073810
1123979.0,81724Q,81724Q10
5768.0,743453,743453
1479238.0,67074R,67074R10
1618756.0,76131D,76131D10
884940.0,858375,85837510
1487198.0,04530L,04530L10
65312.0,262432,26243210
1611983.0,530307,53030710
1543098.0,19189U,19189U10
832327.0,09247F,09247F10
1285785.0,61945C,61945C10
878526.0,639050,63905010
1487986.0,420031,42003110
1371781.0,98145W,98145W20
754813.0,42227G,42227G20
801961.0,552738,55273810
927628.0,346670,34667040
1039171.0,656567,65656740
819689.0,042698,04269830
1201792.0,02913V,02913V10
1410471.0,44984A,44984A10
1471261.0,19075F,19075F10
1017673.0,260174,26017410
9389.0,058498,05849810
773141.0,552676,55267610
93676.0,855668,85566810
785956.0,466032,46603210
933036.0,76009N,76009N10
885538.0,390607,39060710
318300.0,838087,838087
1512920.0,852066,85206610
2809.0,008474,00847410
1383183.0,20009T,20009T30
1562594.0,53633A,53633A10
1450445.0,670695,67069510
927807.0,460927,46092710
75659.0,588056,58805610
1185348.0,69354N,69354N10
1309082.0,549333,54933320
1111928.0,44980X,44980X10
100591.0,04010E,04010E10
1500096.0,48661E,48661E10
717954.0,904708,90470810
1109345.0,M7516K,M7516K10
834285.0,760416,76041610
1022079.0,144670,14467029
865415.0,006854,00685410
811156.0,247765,24776514
1599891.0,86777J,86777J10
819050.0,925602,92560210
1346830.0,140755,14075510
1490983.0,13466Y,13466Y10
1471266.0,417429,41742910
1202806.0,31423M,31423M10
727273.0,127537,12753720
1546383.0,Y0192H,Y0192H10
922864.0,111971,11197165
1090633.0,J24210,J2421010
1352010.0,29414B,29414B10
881890.0,002567,00256710
8063.0,046433,04643310
1030894.0,115620,11562008
752294.0,285848,28584810
1028918.0,69478X,69478X10
13573.0,102565,10256510
903571.0,38119T,38119T10
700564.0,114722,11472271
1113809.0,120076,12007610
1190723.0,88031M,88031M10
799694.0,68230m,68230m20
785787.0,284436,284436
882152.0,09254M,09254M10
1298946.0,252784,25278430
919708.0,25160F,25160F10
1282543.0,008272,00827210
1050377.0,69318J,69318J10
1065696.0,212297,21229778
1173293.0,66987G,66987G10
1418091.0,90184L,90184L10
895523.0,95766L,95766L10
1340786.0,35952W,35952W10
1598968.0,03673L,03673L10
863436.0,08160H,08160H10
46080.0,418056,41805610
866121.0,018804,01880410
828916.0,948741,94874110
1332551.0,104404,10440487
1549346.0,825690,82569010
1469392.0,67074M,67074M10
1338613.0,75885Y,75885Y10
1095052.0,72765Q,72765Q20
1294250.0,752182,75218210
1163370.0,459179,459179
1096343.0,570535,57053510
912242.0,132111,13211177
1140411.0,72200N,72200N10
931584.0,913837,91383710
1289236.0,180701,18070183
1601548.0,92242T,92242T10
746210.0,379887,37988720
1162194.0,34385P,34385P10
83402.0,761195,76119520
1200375.0,192005,19200510
1477246.0,785135,78513510
1576018.0,G8827U,G8827U10
1102934.0,12709P,12709P10
31107.0,276317,27631710
877463.0,46131J,46131J10
1036960.0,303726,30372610
1350381.0,45773Y,45773Y10
1439288.0,76169B,76169B10
1265888.0,64126X,64126X20
1308648.0,32076V,32076V10
1564709.0,897871,89787110
792641.0,09057G,09057G60
1040426.0,87162H,87162H10
727346.0,37953J,37953J10
766704.0,42217K,42217K10
1299901.0,89255N,89255N20
883241.0,145665,14566597
52827.0,100372,10037271
49600.0,277276,27727610
703361.0,115555,11555538
903127.0,737464,73746410
1334388.0,707887,70788710
892482.0,700671,700671
1388319.0,09062F,09062F20
1396279.0,42833L,42833L10
1476045.0,16208T,16208T10
1441236.0,18538R,18538R10
3116.0,009728,00972810
772897.0,448407,44840710
1000683.0,093698,09369810
1544229.0,29285W,29285W10
754737.0,121819,12181935
1018724.0,023135,02313510
724004.0,59064R,59064R10
1584952.0,268785,26878510
1165002.0,961765,96176510
1320854.0,357023,35702310
55242.0,489170,48917010
315374.0,521148,521148
939767.0,144956,14495656
1477200.0,773111,77311110
915191.0,303901,30390110
1163302.0,912909,91290910
1302707.0,44044K,44044K30
820736.0,685564,68556410
1095315.0,717098,71709810
1409493.0,615751,61575112
1001426.0,713831,71383110
350563.0,186077,18607746
72170.0,45671Q,45671Q20
1324424.0,30212P,30212P30
831259.0,933428,93342807
25232.0,222795,22279510
1083839.0,67066V,67066V10
1175609.0,84856M,84856M20
1578086.0,651717,65171710
1336917.0,904311,90431110
924383.0,50213V,50213V10
1296435.0,640079,64007910
103145.0,922417,92241710
883237.0,611262,611262
890846.0,917277,91727720
830524.0,16150R,16150R10
1087423.0,756577,75657710
1031296.0,272257,27225794
1291361.0,M87245,M8724510
1267890.0,40167K,40167K10
1162027.0,01864U,01864U10
1576044.0,74735R,74735R11
1513971.0,857030,85703010
1495240.0,376549,37654910
1499849.0,P18023,P1802310
732712.0,216544,21654462
50292.0,44949K,44949K10
1452477.0,74965J,74965J60
1356576.0,868459,86845910
712034.0,00081T,00081T10
1329799.0,85223W,85223W10
1617977.0,40449J,40449J10
1564708.0,65249B,65249B10
869187.0,058823,05882310
1174610.0,74348A,74348A59
878560.0,168050,16805034
920321.0,15670S,15670S10
833251.0,67062T,67062T10
4127.0,151338,15133880
1321741.0,376546,37654610
1068717.0,74973W,74973W10
726728.0,218694,21869419
1160958.0,45772F,45772F10
1325670.0,733719,733719
1534504.0,69318G,69318G10
1055160.0,55272X,55272X10
899923.0,62855J,62855J10
1313918.0,12547R,12547R10
1395857.0,895945,89594510
1563699.0,22357R,22357R10
1563665.0,470654,470654
80172.0,637215,63721510
1053691.0,76132G,76132G10
1013272.0,669549,66954910
1442711.0,23254W,23254W10
1142701.0,911268,91126820
1504222.0,42969X,42969X10
1207179.0,G9456A,G9456A10
1432150.0,37517Y,37517Y10
860748.0,913275,91327510
909791.0,904034,90403410
800166.0,547837,54783705
29669.0,186498,18649807
888504.0,521050,52105010
751085.0,559424,55942440
1001385.0,667746,66774610
1530721.0,G60754,G6075410
949428.0,18449C,18449C40
1415336.0,98933Q,98933Q10
315449.0,903213,90321310
1302343.0,28140H,28140H20
1329377.0,33735G,33735G10
67625.0,609720,60972010
1001288.0,529771,52977110
885978.0,759072,759072
740260.0,262550,26255056
1402829.0,68628V,68628V30
1524741.0,90346E,90346E10
921671.0,36239Q,36239Q40
924719.0,832156,83215610
36966.0,166311,16631143
732834.0,212015,21201510
1323468.0,37946R,37946R10
1223786.0,67059L,67059L10
1356949.0,44244K,44244K10
1191255.0,820873,82087375
1490906.0,14057J,14057J10
1088825.0,888706,88870610
1062579.0,G02602,G0260210
1083712.0,58400W,58400W10
1162556.0,260095,26009510
1134115.0,46050R,46050R10
1017491.0,652903,65290310
1572910.0,718549,71854920
21510.0,192479,19247910
1533924.0,59804T,59804T10
884216.0,09254Y,09254Y10
1474042.0,Y0553W,Y0553W10
1144215.0,00508Y,00508Y10
1415995.0,45409B,45409B80
1294157.0,26139J,26139J10
751365.0,927651,92765110
1157842.0,19247L,19247L10
1508655.0,87265K,87265K10
799165.0,872417,87241730
1551739.0,407015,40701510
1365038.0,24802N,24802N10
35527.0,570833,57083388
1594337.0,21887L,21887L10
936340.0,137750,13775011
1002047.0,64110D,64110D10
1224608.0,132107,13210710
1172139.0,06846N,06846N10
946394.0,M39927,M3992710
1214816.0,G0692U,G0692U10
1131227.0,440543,44054310
920371.0,829073,82907310
830622.0,746909,74690910
1080034.0,21249J,21249J10
1171486.0,63900P,63900P10
1620928.0,762819,76281910
885978.0,90337L,90337L10
6951.0,038222,03822210
108772.0,728505,72850594
1489096.0,88362T,88362T10
